,day,month,year,Cleaned_Tweets,Retweets,Likes
152,16,2,2022,"I was at a lunch with Munger in 2009 where he told the whole table all the ways Tesla would fail. Made me quite sad, but I told him I agreed with all those reasons amp that we would probably die, but it was worth trying anyway.",12701,120729
153,16,2,2022,No way ,396,9836
154,16,2,2022,Agreed. This has been broken for a long time.,936,18222
155,16,2,2022,Ok,72,2433
156,17,2,2022,Model 3 is literally the most made in America car in â well of course â America,1978,29669
157,17,2,2022,High pain threshold,720,15889
158,17,2,2022,"For an in-depth explanation, read",349,3196
159,17,2,2022,Reasons to hate are remembered better than reasons to love,33195,247008
160,17,2,2022,"An evolutionary asymmetry helpful to survival, but counterproductive when survival is not at stake",5094,82481
161,18,2,2022,So amazing that we decompress from a single cell to over 30 trillion cells,12705,186188
162,18,2,2022,â,626,18303
163,18,2,2022,Pretty much ,1251,51790
164,18,2,2022,Plaid Model S amp X are sublime,262,5797
165,18,2,2022,Product gt Marketing,1013,11595
166,18,2,2022,Absolutely,407,7235
167,19,2,2022,We have a very talented team,902,23914
168,19,2,2022,"I wish I could help. At this point, it seems that voting at the next election is the remedy.",2489,23657
169,19,2,2022,"Actually, April 7th",377,4631
170,19,2,2022,"SpaceXâs goal is to make life multiplanetary, whereas their goal is to put a handful of satellites in orbit",459,5545
171,19,2,2022,Are they even trying,203,5785
172,19,2,2022,Yes,137,3314
173,19,2,2022,April 1st,275,4058
174,19,2,2022,"And, of course, you can pay in Ãoge",2853,13681
175,19,2,2022,We are a mobile cell colony,409,8985
176,19,2,2022,"Lucky bastards, we are",1033,19713
177,19,2,2022,Yes,104,2223
178,19,2,2022,And futuristic diner / drive-in theater planned for Hollywood area,811,10903
179,19,2,2022,Indeed,273,5972
180,20,2,2022,I think it will reach,2663,88140
181,20,2,2022,Probably,219,4364
182,20,2,2022,"Yes, in the air",112,2358
183,20,2,2022,Cybertruck,336,4294
184,20,2,2022,"Depends mostly on FAA certification, but hopefully within 6 months. Weâre testing on Gulfstreams to debug issues, but deployment priority is commercial airliners.",171,2631
185,20,2,2022,Seriously. How long must this go on,591,12998
186,20,2,2022,True,106,2270
187,20,2,2022,"Will visit IRS next time Iâm in DC just to say hi, since I paid the most taxes ever in history for an individual last year. Maybe I can have a cookie or something â",11514,92910
188,20,2,2022,Hypocritical megadouche,2532,21783
189,20,2,2022,Iâm dropping a new album,4801,108008
190,21,2,2022,Entertainment is becoming a username/password/2FA nightmare,19940,215515
191,21,2,2022,"Sounds good, we will send one over",227,4309
192,21,2,2022,That would be great,118,1949
193,21,2,2022,"Maybe near BRO airport, since that serves both communities",171,4003
194,21,2,2022,"If South Padre and/or Brownsville would like a Starship prototype, we can send one over",471,9114
195,21,2,2022,"Iâm pretty sure Iâve paid the most taxes of any individual ever to California, but it isnât obvious what is done with the money",428,5255
196,21,2,2022,"Tesla owners in the greater Giga Texas area will get priority, so yes",364,8348
197,21,2,2022,Single biggest threat to future of civilization imo,199,2769
198,21,2,2022,Ok,230,8101
199,21,2,2022,They will be fine,357,6575
200,21,2,2022,"The only reason I didnât pay federal tax in 2018 is because I overpaid in 2017 Since they stole my tax records, they actually know that.",623,5600
201,21,2,2022,"Rather than correcting itself, the lower birth rate trend appears to be accelerating",142,2158
202,22,2,2022,We must fight for it to be better,157,2062
203,22,2,2022,"Switching to renewables with batteries would avoid blackouts. Batteries are essential, due to the intermittent nature of renewables.",649,8867
204,22,2,2022,Sometimes 20 small changes in a single week,293,5864
205,22,2,2022,"Small changes usually affect production for less than an hour, as theyâre applied to a few stations during breaks.Big changes may impact output for a day or two. Reversing out big changes or unexpected parts shortages are what impact several days.",247,3089
206,22,2,2022,Norway is awesome ,441,12001
207,22,2,2022,This is just peeling back the first layer of the corruption onion. Stay tuned â,1686,17897
208,22,2,2022,Great game,695,18010
209,22,2,2022,Yes. This is an advantage of iron cathode lithium batteries.,376,12776
210,22,2,2022,Weâre working through the general case of making Steam games work on a Tesla vs specific titles. Former is obviously where we should be long-term.,241,2921
211,22,2,2022,Sorry,51,1211
212,22,2,2022,But 69% of statistics are false,1671,37878
213,22,2,2022,Night City has beautiful art,292,9228
214,22,2,2022,Why many come to America,123,1890
215,22,2,2022,Yes,125,3002
216,22,2,2022,M Night should do a horror movie about this â it would resonate,2064,48494
217,22,2,2022,â a river,219,4537
218,22,2,2022,"Instead of âresearch suggestsâ, I suggest âwarlocks sayâ",132,1895
219,22,2,2022,In Earth years,514,12140
220,22,2,2022,,141,2539
221,22,2,2022,It is taking longer than expected to make the upper stage not expendable sigh,281,7435
222,22,2,2022,â,10696,122921
223,22,2,2022,tau gt pi,4517,46892
224,22,2,2022,Yeah,60,1611
225,22,2,2022,Tuesday,89,2118
226,22,2,2022,V11 is ,393,5291
227,22,2,2022,,153,3171
228,22,2,2022,Beautiful,196,6391
229,23,2,2022,Yeah,277,7900
230,23,2,2022,"I didnât start the fight, but I will finish it.",4290,31692
231,23,2,2022,Building a case is exactly what Iâve been doing,3179,30127
232,23,2,2022,Exactly,449,5319
233,23,2,2022,Would be cool if we are backed up somehow,368,8714
234,23,2,2022,"Yeah, definitely donât use C unless optimizing for hardware performance",168,3435
235,23,2,2022,"While it is tempting to focus on one of those arenas as the âhard oneâ, in fact they are all difficult amp important. Tight C amp custom compiler too.An inference computer optimized for energy efficiency, reliability amp long life is also critical. Canât just jam GPUs in the trunk.",224,3225
236,23,2,2022,Definitely,96,2255
